cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6506,70,390,0,11,6,0,0,5,12,0
6507,78,390,0,20,4,0,0,80,11,0
6508,60,315,0,15,3,0,0,55,9,0
6509,72,360,0,37,4,0,0,150,16,0
6510,66,210,0,20,5,0,0,85,2.5,0
6511,66,215,0,20,5,0,0,80,3.3,0
6512,66,215,0,19,5,0,0,65,2.4,0
6513,66,210,0,20,5,0,0,100,2.5,0
6514,66,215,0,17,5,0,0,80,2.3,0
6515,140,776,0,21,12,0,0,11,25,0
6516,100,547,0,39,7,0,0,41,19,0
6517,27,115,0,11,2,0,0,40,0.9,0
6518,27,119,0,9,2,0,0,35,1,0
6519,27,113,0,10,2,0,0,40,0.9,0
6520,100,491,0,22,7,0,0,62,13,0
6521,100,486,0,23,7,0,0,64,13,0
6522,30,105,0,7,1,0,0,10,0.1,0
6523,30,100,0,5,2,0,0,40,0.1,0
6524,30,105,0,5,2,0,0,5,0.2,0
6525,60,199,0,25,3,0,0,89,2,0
6526,60,202,0,24,4,0,0,81,2,0
6527,60,199,0,33,3,0,0,74,2,0
6528,125,640,0,3,7,0,0,20,25,0
6529,125,589,0,44,7,0,0,117,8.3,0
6530,80,393,0,40,3,0,0,107,13,0
6531,130,190,0,13,3,0,0,140,5,0
6532,130,200,0,18,3,0,0,160,4.5,0
6533,77,197,0,20,2,0,0,3,7,0
6534,50,78,0,11,1.8,0,0,77,1.2,0
6535,553,1765,0,119,33,0,0,530,42,0
6536,24,74,0,10,2,0,0,32,0.2,0
6537,940,3487,0,21,3,0,0,120,14,0
6538,585,1040,0,130,27,0,0,710,17,0
6539,34,110,0,7,2,0,0,30,1.4,0
6540,260,1215,0,50,17,0,0,490,37,0
6541,260,1215,0,50,17,0,0,490,37,0
6542,260,1215,0,50,17,0,0,490,37,0
6543,156,725,0,30,10,0,0,290,22,0
6544,28,159,0,12,2,0,0,0,6.6,0
6545,27,151,0,12,2,0,0,0,6.4,0
6546,29,163,0,12,2,0,0,0,6.9,0
6547,435,1549,0,23,4,0,0,95,13,0
6548,680,18,0,0.02,0.28,0,0,0.27,0.92,0
6549,680,102.66,0,27.12,0.35,0,0,2.65,0.92,0
6550,567,180.5,0,11.27,9.03,0,0,0.38,7.17,0
6551,567,250.43,0,28.49,9.03,0,0,0.38,7.17,0
6552,567,238.19,0,25.64,9.03,0,0,11.19,7.17,0
6553,567,293.88,0,35.66,10.85,0,0,71.55,14.74,0
6554,567,370.74,0,53.71,10.91,0,0,73.75,14.83,0
6555,567,148.97,0,9.18,7.29,0,0,0.43,5.92,0
6556,567,469.49,0,35.43,10.18,0,0,94.28,20.59,0
6557,567,362.92,0,43.49,12.64,0,0,68.73,10.37,0
6558,680,72.27,0,9.36,0.32,0,0,0.41,0.92,0
6559,680,75.69,0,14.39,0.28,0,0,11.07,0.92,0
6560,680,18,0,0.02,0.28,0,0,0.27,0.92,0
6561,567,167.5,0,10.37,8.33,0,0,0.37,6.67,0
6562,567,228.24,0,31.08,6.58,0,0,0.35,5.42,0
6563,567,224.92,0,28.18,6.58,0,0,14.77,5.92,0
6564,567,212.63,0,30.04,6.47,0,0,71.49,11.62,0
6565,567,283.5,0,40,5.81,0,0,48.83,11.56,0
6566,567,292.36,0,31.27,10.58,0,0,55.17,9.14,0
6567,567,135.97,0,8.12,6.58,0,0,0.35,5.42,0
6568,567,463.62,0,37.52,7.6,0,0,133.69,19.06,0
6569,680,102.66,0,27.12,0.35,0,0,2.65,0.92,0
6570,680,90.36,0,12.48,0.33,0,0,0.46,0.92,0
6571,680,94.92,0,19.18,0.28,0,0,14.68,0.92,0
6572,680,9,0,0,0,0,0,0,0,0
6573,680,9,0,0,0,0,0,0,0,0
6574,680,121,0,8,6,0,0,90,4.1,0
6575,680,121,0,8,6,0,0,90,4.1,0
6576,454,213,0,19,7,0,0,140,8.1,0
6577,454,213,0,19,7,0,0,140,8.1,0
6578,567,242,0,28.5,7.5,0,0,116.7,5.8,0
6579,567,354,0,14.5,7.4,0,0,225.8,14.5,0
6580,567,204,0,18.5,8.1,0,0,135.8,6.8,0
6581,567,379,0,33,9,0,0,171,16.8,0
6582,567,333,0,31.1,8.3,0,0,142.6,12.84,0
6583,567,427.98,0,39.16,15.16,0,0,0.11,6.25,0
6584,567,379.11,0,35.84,10.03,0,0,131,10.54,0
6585,567,242,0,28.5,7.5,0,0,116.7,5.8,0
6586,567,344,0,14.5,7.4,0,0,225.8,15.5,0
6587,567,145,0,14.5,5.4,0,0,90.8,4.5,0
6588,567,242,0,28.5,7.5,0,0,116.7,5.8,0
6589,567,333,0,31.1,8.3,0,0,142.6,12.84,0
6590,567,379,0,33,9,0,0,171,16.8,0
6591,567,379.11,0,35.84,10.03,0,0,131,10.54,0
6592,680,313,0,70.5,0.38,0,0,98,0,0
6593,680,312.51,0,75.37,0.61,0,0,91.93,0,0
6594,680,295.73,0,67.91,0.65,0,0,47.19,0,0
6595,680,0,0,0.05,0,0,0,1.98,0,0
6596,680,0,0,0,0,0,0,0,0,0
6597,680,0,0,0,0,0,0,0,0,0
6598,680,233.13,0,56.82,0.48,0,0,36.44,0,0
6599,680,250.4,0,56.4,0.3,0,0,78.4,0,0
6600,680,54,0,10.1,0,0,0,10.31,0,0
6601,680,234.93,0,57.27,0.51,0,0,36.62,0,0
6602,680,254.4,0,57.7,0.6,0,0,47,0,0
6603,567,487.2,0,50.28,14.31,0,0,1.29,5,0
6604,567,331.6,0,81.2,1.7,0,0,17,0,0
6605,567,537.4,0,102.18,6.01,0,0,52.25,2.5,0
6606,567,419.9,0,94.9,10.22,0,0,113.52,4.98,0
6607,680,142.83,0,54.45,0.11,0,0,8.16,0,0
6608,680,159.95,0,54.93,0.11,0,0,8.37,0.01,0
6609,680,218.61,0,52.73,0.31,0,0,6.81,0,0
6610,680,510.46,0,134.46,0,0,0,25,0,0
6611,680,334.14,0,77.97,0.19,0,0,0.65,0.02,0
6612,680,245.55,0,54.37,0.23,0,0,3.7,0,0
6613,680,217.3,0,51.97,0.06,0,0,0.2,0,0
6614,680,245.55,0,58.87,0.09,0,0,0.34,0.01,0
6615,680,151.38,0,55.53,0.05,0,0,8,0,0
6616,680,237.44,0,53.02,0.02,0,0,0.26,0.01,0
6617,680,221.12,0,53.4,0,0,0,0,0,0
6618,110,320,0,7,15,0,0,923,8,0
6619,90,251,0,29,8,0,0,117,7,0
6620,38,138,0,10,2,0,0,0,3,0
6621,570,695.72,0,66.36,6.68,0,0,350.11,23.65,0
6622,571,418.01,0,31.41,5.33,0,0,115.56,15.41,0
6623,572,391.9,0,75.83,6.47,0,0,211.21,13.01,0
6624,573,519.36,0,78.47,3.74,0,0,103.88,12.16,0
6625,574,496.39,0,55.88,8.93,0,0,153.25,10.85,0
6626,575,496.29,0,54.1,8.97,0,0,163.1,10.86,0
6627,576,622.06,0,74.45,9.36,0,0,170.52,11.46,0
6628,577,593.62,0,87.18,9.05,0,0,98.27,0,0
6629,578,419.23,0,56.32,4.06,0,0,71.12,13.07,0
6630,579,301.25,0,65,0,0,0,25,0,0
6631,580,262.72,0,54.87,0.01,0,0,20,0,0
6632,581,258.06,0,23.7,1.75,0,0,64.53,12.07,0
6633,90,180,0,17,3,0,0,97,0,0
6634,568,396.67,0,76.77,7.16,0,0,16.37,0,0
6635,569,379.37,0,68.47,6.45,0,0,43.28,0,0
6636,38,131,0,10,2,0,0,115,1,0
6637,38,138,0,10,2,0,0,131,0,0
6638,70,324,0,22,5,0,0,461,12,0
6639,567,492.62,0,92.17,8.81,0,0,12.69,5,0
6640,397,10,2,0,0,0,0,5,0,0
6641,397,10,2,0,0,0,0,5,0,0
6642,340,143,15,10,11,9,0,110,5,0
6643,397,125,10,0,0,6,0,75,0,0
6644,397,160,14,0,0,8,0,100,0,0
6645,397,111,9,0,0,5,0,65,0,0
6646,397,213,27,0,0,8,0,105,0,0
6647,397,171,24,0,0,6,0,75,0,0
6648,397,213,19,0,0,8,0,105,0,0
6649,397,171,16,0,0,6,0,75,0,0
