fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
188,100,471 ,64.98,22.83,5.50,21.00,0,207,11.38,0.22
189,100,494 ,66.32,4.00,6.04,22.77,0,577,6.77,0.20
190,100,520 ,65.73,2.01,5.25,26.27,0,420,7.64,0.18
191,100,422 ,71.7,0,3.8,13.3,0,34,0,0
192,100,390,-84.9,-48.5,-7,-3.2,-90,-57,-0.92,0
193,100,420 ,82.8,0,6.7,6.9,0,150,0,0
194,100,501 ,70.2,0,4.3,22.5,0,54,0,0
195,100,428 ,67.59,31.18,4.29,15.57,0,224,9.51,0.09
196,100,493 ,67.97,22.42,8.36,20.87,7,346,9.97,0.08
197,100,512 ,66.47,16.45,6.37,24.52,26,226,13.40,0.18
198,100,494 ,71.38,23.18,5.92,20.55,13,312,11.21,0.24
199,100,471 ,72.73,16.62,6.48,17.17,5,652,8.90,0.67
200,100,513 ,58.8,0,7.0,27.8,0,634,0,0
201,100,524 ,64.23,14.64,7.66,26.24,0,195,12.99,0.53
202,100,506 ,68.26,12.12,7.38,22.62,0,394,13.52,0.38
203,100,497 ,68.24,14.69,6.08,22.23,0,539,13.24,0.55
204,100,291 ,60.09,7.39,7.25,0.87,0,395,0.25,0
205,100,368 ,74.41,2.57,10.38,1.24,0,1279,0.33,0
206,100,123 ,24.70,0,3.55,0.44,0,78,0.12,0
207,100,370 ,74.88,1.93,10.36,1.27,0,1274,0.34,0
208,100,126 ,25.36,0,3.55,0.48,0,68,0.14,0
209,100,366 ,73.94,3.21,10.40,1.21,0,1284,0.33,0
210,100,120 ,24.04,0,3.55,0.40,0,88,0.11,0
211,100,445 ,69.05,0,8.23,14.28,0,327,6.68,0.12
212,100,175 ,29.65,0,3.61,4.17,0,79,1.93,0.03
213,100,380 ,77.1,0,12.2,0.4,0,2,0,0
214,100,126 ,25.8,0,3.8,0.2,0,5,0,0
215,100,365 ,76.64,1.39,11.78,1.28,0,2,0.34,0
216,100,129 ,26.9,0,3.8,0,0,7,0,0
217,100,164 ,33.09,0,3.33,1.25,0,142,0.33,0.01
218,100,139 ,29.12,0,2.95,0.46,0,78,0.13,0
219,100,249,55.7,1.0 ,8.6,1.2,0,410,-0.28,0
220,100,133,29.2,0.1,4.9,0.6,0,70,-0.14,0
221,100,336,67.1,-0.9,10.3,5.2,2,2700,1.26,0
222,100,132,28.6,-0.1,5.2,0.6,0,200,-0.14,0
223,100,162,35.6,0.3,4.9,1.7,0,110,-0.38,0
224,100,348 ,71.29,4.50,9.16,1.08,0,1697,0.30,0
225,100,303 ,63.02,0,7.25,0.87,0,327,0.25,0
226,100,140 ,28.98,0,3.49,0.43,0,47,0.13,0
227,100,281 ,57.5,0,6.4,1.4,0,1768,0,0
228,100,263,51.1,0,8.2,3.5,0,400,-1.57,0
229,100,415 ,61.44,17.01,9.50,14.54,29,307,6.08,0.11
230,100,404 ,47.2,0,7.9,20.4,0,431,0,0
231,100,257,47.6,0,10.3,3.4,0,530,0,0
232,100,426 ,40.6,0,7.3,26.0,0,360,0,0
233,100,347 ,45.7,0,6.6,15.3,0,188,0,0
234,100,309,48.6,6.4,10.1,9,0,490,4.02,0
235,100,293,52.70,1.77,9.90,4.30,0,544,0.606,0
236,100,424 ,57.5,0,9.8,17.2,0,558,0,0
237,100,296,41.40,0,6.90,11.40,39,467,2.156,0
238,100,235,46.00,0,7.70,1.80,0,464,0.259,0
239,100,316 ,58.99,11.33,9.06,4.91,9,260,2.33,0.03
240,100,354 ,63.29,15.43,8.31,7.53,34,316,3.63,0.08
241,100,289,57.5,1.8,9.4,1.3,0,620,-0.29,0
242,100,270,54.6,4.8,9.6,2,0,460,0.71,0
243,100,278,53.00,0,10.60,2.10,24,505,0.421,0
244,100,254 ,44.12,11.98,4.81,6.44,0,276,3.49,0.03
245,100,323 ,33.00,5.05,10.59,16.52,35,571,5.25,0.16
246,100,279 ,49.68,4.12,9.01,4.91,0,516,2.87,0.15
