NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6441,114,270,-,6,12,-,-,500,8,-
6442,214,450,-,9,21,-,-,1100,8,-
6443,292,745,-,9,23,-,-,1340,14,-
6444,285,700,-,19,24,-,-,1700,8,-
6445,220,575,-,24,17,-,-,1170,8,-
6446,140,400,-,3,18,-,-,800,9,-
6447,149,280,-,0.7,16,-,-,800,3,-
6448,123,280,-,4,12,-,-,500,4.7,-
6449,183,550,-,18,23,-,-,960,10,-
6450,206,325,-,6,21,-,-,520,5,-
6451,264,390,-,23,6,-,-,340,5,-
6452,210,445,-,0,33,-,-,820,7,-
6453,168,370,-,5,9,-,-,540,6,-
6454,124,210,-,2,9,-,-,630,4,-
6455,287,380,-,15,7,-,-,390,6,-
6456,294,545,-,12,18,-,-,790,10,-
6457,313,405,-,17,13,-,-,870,3.7,-
6458,260,380,-,10,12,-,-,690,7,-
6459,246,225,-,13,8,-,-,420,5,-
6460,294,470,-,2,18,-,-,680,9,-
6461,150,75,-,11,1,-,-,15,0,-
6462,130,135,-,7,3,-,-,200,0,-
6463,130,75,-,10,1,-,-,130,0,-
6464,310,10,-,0.7,0.7,-,-,-,0,-
6465,330,180,-,12,5,-,-,150,7,-
